ORDEM,MUNICIPIO,NOME_PREFEITO,TELEFONE_WHATSAPP,VALOR_POTENCIAL,LINK_LANDING_PAGE,MENSAGEM_WHATSAPP
011,Altair,,,R$ 1.438.918,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Altair,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.438.918* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
012,Altinópolis,,,R$ 3.127.868,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Altinópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.127.868* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
013,Alto Alegre,,,R$ 1.568.697,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Alto Alegre,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.568.697* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
014,Alumínio,,,R$ 8.515.844,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Alumínio,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 8.515.844* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
015,Álvares Florence,,,R$ 1.474.566,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Álvares Florence,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.474.566* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
016,Álvares Machado,,,R$ 10.828.487,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Álvares Machado,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 10.828.487* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
017,Álvaro de Carvalho,,,R$ 1.599.613,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Álvaro de Carvalho,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.599.613* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
018,Alvinlândia,,,R$ 1.742.008,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Alvinlândia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.742.008* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
019,Americana,,,R$ 38.988.651,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Americana,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 38.988.651* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
020,Américo Brasiliense,,,R$ 16.377.539,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Américo Brasiliense,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 16.377.539* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
021,Américo de Campos,,,R$ 1.495.188,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Américo de Campos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.495.188* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
022,Amparo,,,R$ 17.086.013,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Amparo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 17.086.013* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
023,Ibirarema,,,R$ 2.508.957,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Ibirarema,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.508.957* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
024,Analândia,,,R$ 3.588.239,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Analândia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.588.239* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
025,Andradina,,,R$ 16.203.052,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Andradina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 16.203.052* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
026,Angatuba,,,R$ 14.394.194,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Angatuba,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 14.394.194* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
027,Anhembi,,,R$ 4.380.013,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Anhembi,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.380.013* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
028,Anhumas,,,R$ 1.597.152,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Anhumas,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.597.152* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
029,Aparecida,,,R$ 16.310.637,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Aparecida,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 16.310.637* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
030,Aparecida DOeste,,,R$ 1.567.629,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Aparecida DOeste,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.567.629* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
031,Apiaí,,,R$ 3.900.175,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Apiaí,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.900.175* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
032,Araçariguama,,,R$ 13.693.373,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Araçariguama,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 13.693.373* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
033,Araçatuba,,,R$ 47.876.854,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Araçatuba,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 47.876.854* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
034,Araçoiaba da Serra,,,R$ 18.700.768,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Araçoiaba da Serra,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 18.700.768* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
035,Aramina,,,R$ 2.548.334,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Aramina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.548.334* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
036,Arandu,,,R$ 2.799.856,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Arandu,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.799.856* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
037,Arapeí,,,R$ 1.928.945,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Arapeí,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.928.945* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
038,Araraquara,,,R$ 48.206.846,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Araraquara,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 48.206.846* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
039,Araras,,,R$ 50.215.796,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Araras,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 50.215.796* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
040,Arco-Íris,,,R$ 1.086.877,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Arco-Íris,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.086.877* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
041,Arealva,,,R$ 2.382.169,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Arealva,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.382.169* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
042,Areias,,,R$ 2.679.870,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Areias,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.679.870* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
043,Areiópolis,,,R$ 5.083.595,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Areiópolis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 5.083.595* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
044,Ariranha,,,R$ 2.272.511,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Ariranha,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.272.511* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
045,Artur Nogueira,,,R$ 19.038.517,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Artur Nogueira,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 19.038.517* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
046,Arujá,,,R$ 35.709.825,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Arujá,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 35.709.825* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
047,Aspásia,,,R$ 925.931,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Aspásia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 925.931* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
048,Assis,,,R$ 19.536.222,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Assis,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 19.536.222* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
049,Atibaia,,,R$ 46.534.982,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Atibaia,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 46.534.982* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
050,Auriflama,,,R$ 4.225.672,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Auriflama,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.225.672* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
051,Avaí,,,R$ 2.593.262,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Avaí,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.593.262* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
052,Avanhandava,,,R$ 2.338.366,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Avanhandava,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 2.338.366* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
053,Avaré,,,R$ 30.970.966,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Avaré,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 30.970.966* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
054,Bady Bassitt,,,R$ 14.198.228,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Bady Bassitt,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 14.198.228* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
055,Balbinos,,,R$ 1.311.143,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Balbinos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.311.143* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
056,Bálsamo,,,R$ 3.023.571,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Bálsamo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.023.571* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
057,Bananal,,,R$ 4.906.527,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Bananal,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 4.906.527* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
058,Barão de Antonina,,,R$ 1.980.634,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barão de Antonina,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.980.634* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
059,Barbosa,,,R$ 1.911.833,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barbosa,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.911.833* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
060,Bariri,,,R$ 11.282.524,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Bariri,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 11.282.524* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
061,Barra Bonita,,,R$ 6.938.337,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barra Bonita,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 6.938.337* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
062,Barra do Chapéu,,,R$ 1.807.053,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barra do Chapéu,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 1.807.053* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
063,Barra do Turvo,,,R$ 3.058.536,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barra do Turvo,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 3.058.536* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
064,Barretos,,,R$ 24.074.038,https://www.institutoi10.com.br/apm-lp,"Prezado(a) Prefeito(a) de Barretos,

A Associação Paulista de Municípios (APM), em parceria com o Instituto i10, identificou *R$ 24.074.038* em recursos FUNDEB não captados pelo seu município.

Preparamos um diagnóstico exclusivo. Acesse, busque seu município e baixe o relatório completo:
👉 https://www.institutoi10.com.br/apm-lp

A Força do Municipalismo
APM + Instituto i10"
